id,daireKurul,esasNo,kararNo,kararTarihi
1079486400,8. Daire,2022/3594,2024/4340,05.09.2024
1080354100,8. Daire,2021/7789,2024/4326,05.09.2024
1080354300,8. Daire,2022/3504,2024/4341,05.09.2024
1080354500,8. Daire,2022/5774,2024/4318,05.09.2024
1080354200,8. Daire,2022/5776,2024/4319,05.09.2024
1080354400,8. Daire,2023/1362,2024/4327,05.09.2024
1080343600,8. Daire,2023/1676,2024/4321,05.09.2024
1080342800,8. Daire,2022/5787,2024/4322,05.09.2024
1080343400,8. Daire,2021/7682,2024/4325,05.09.2024
1080342900,8. Daire,2021/6680,2024/4323,05.09.2024
1080343300,8. Daire,2023/2018,2024/4324,05.09.2024
1080343200,8. Daire,2023/1363,2024/4328,05.09.2024
1080343000,8. Daire,2022/4921,2024/4320,05.09.2024
1080343100,8. Daire,2023/1364,2024/4329,05.09.2024
1082690900,8. Daire,2023/1397,2024/4331,05.09.2024
1082691200,8. Daire,2023/1365,2024/4333,05.09.2024
1082691900,8. Daire,2022/3465,2024/4338,05.09.2024
1082691100,8. Daire,2022/3879,2024/4337,05.09.2024
1082498700,8. Daire,2023/1408,2024/4335,05.09.2024
1082721300,8. Daire,2023/1366,2024/4332,05.09.2024
1082721400,8. Daire,2022/3733,2024/4336,05.09.2024
1082727800,8. Daire,2023/1410,2024/4334,05.09.2024
1078219300,8. Daire,2022/1853,2024/4287,04.09.2024
1077935800,8. Daire,2022/2141,2024/4298,04.09.2024
1077935900,8. Daire,2022/2477,2024/4297,04.09.2024
1077935700,8. Daire,2022/2939,2024/4288,04.09.2024
1077935600,8. Daire,2022/1631,2024/4290,04.09.2024
1077937700,8. Daire,2022/2095,2024/4300,04.09.2024
1078220600,8. Daire,2022/3971,2024/4285,04.09.2024
1077934900,8. Daire,2022/1652,2024/4289,04.09.2024
1077934700,8. Daire,2022/1748,2024/4303,04.09.2024
1078859700,8. Daire,2023/5118,2024/4304,04.09.2024
1079168100,8. Daire,2022/2641,2024/4309,04.09.2024
1079062800,8. Daire,2022/1634,2024/4305,04.09.2024
1079063000,8. Daire,2022/1794,2024/4306,04.09.2024
1079849900,8. Daire,2022/4979,2024/4311,04.09.2024
1079986200,8. Daire,2022/6902,2024/4302,04.09.2024
1079986400,8. Daire,2022/6752,2024/4301,04.09.2024
1081094300,8. Daire,2023/2369,2024/4292,04.09.2024
1080865000,8. Daire,2023/883,2024/4296,04.09.2024
1080865200,8. Daire,2022/7777,2024/4294,04.09.2024
1079984900,8. Daire,2022/6901,2024/4295,04.09.2024
1080394800,8. Daire,2022/7107,2024/4308,04.09.2024
1080406400,8. Daire,2022/7339,2024/4291,04.09.2024
1080434200,8. Daire,2023/433,2024/4283,04.09.2024
1080803900,8. Daire,2023/431,2024/4284,04.09.2024
1080804000,8. Daire,2023/2367,2024/4281,04.09.2024
1080743500,8. Daire,2024/4873,2024/4279,22.08.2024
